bid	all
-0.039100	0.056767
-0.039000	0.056767
-0.038900	0.056767
-0.038800	0.056767
-0.038700	0.056767
-0.038600	0.056767
-0.038500	0.056767
-0.038400	0.056767
-0.038300	0.056767
-0.038200	0.056767
-0.038100	0.056767
-0.038000	0.056767
-0.037900	0.056767
-0.037800	0.056767
-0.037700	0.056767
-0.037600	0.056767
-0.037500	0.056767
-0.037400	0.056767
-0.037300	0.056767
-0.037200	0.056767
-0.037100	0.056767
-0.037000	0.056767
-0.036900	0.056767
-0.036800	0.056767
-0.036700	0.056767
-0.036600	0.056767
-0.036500	0.056767
-0.036400	0.056767
-0.036300	0.056767
-0.036200	0.056767
-0.036100	0.056767
-0.036000	0.056767
-0.035900	0.056767
-0.035800	0.056767
-0.035700	0.056767
-0.035600	0.056767
-0.035500	0.056767
-0.035400	0.056767
-0.035300	0.056767
-0.035200	0.056767
-0.035100	0.056767
-0.035000	0.056767
-0.034900	0.056767
-0.034800	0.056767
-0.034700	0.056767
-0.034600	0.056767
-0.034500	0.056767
-0.034400	0.056767
-0.034300	0.056767
-0.034200	0.056767
-0.034100	0.056767
-0.034000	0.056767
-0.033900	0.056767
-0.033800	0.056767
-0.033700	0.056767
-0.033600	0.056767
-0.033500	0.056767
-0.033400	0.056767
-0.033300	0.056767
-0.033200	0.056767
-0.033100	0.056767
-0.033000	0.056767
-0.032900	0.056767
-0.032800	0.056767
-0.032700	0.056767
-0.032600	0.056767
-0.032500	0.056767
-0.032400	0.056767
-0.032300	0.056767
-0.032200	0.056767
-0.032100	0.056767
-0.032000	0.056767
-0.031900	0.056767
-0.031800	0.056767
-0.031700	0.056767
-0.031600	0.056767
-0.031500	0.056767
-0.031400	0.056767
-0.031300	0.056767
-0.031200	0.056767
-0.031100	0.056767
-0.031000	0.056767
-0.030900	0.056767
-0.030800	0.056767
-0.030700	0.056767
-0.030600	0.056767
-0.030500	0.056767
-0.030400	0.056767
-0.030300	0.056767
-0.030200	0.056767
-0.030100	0.056767
-0.030000	0.056767
-0.029900	0.056767
-0.029800	0.056767
-0.029700	0.056767
-0.029600	0.056767
-0.029500	0.056767
-0.029400	0.056767
-0.029300	0.056767
-0.029200	0.056767
