up_down_5	up_down_4	up_down_3	up_down_highest_in_week	highest_2_week	highest_3_week	highest_4_week	chg
0.074600	0.067300	0.051300	0.048000	0.055300	0.092900	0.092900	0.017600
0.062800	0.046800	0.028600	0.056800	0.059800	0.097400	0.097400	-0.004500
0.034700	0.016500	0.001000	0.068900	0.100500	0.109500	0.109500	-0.012100
0.024900	0.009400	-0.008200	0.060500	0.101100	0.101100	0.101100	0.008400
0.053300	0.035700	0.040200	0.016600	0.057200	0.057200	0.057200	0.043900
0.048000	0.052500	0.064600	0.007300	0.044900	0.044900	0.044900	0.012300
0.056800	0.068900	0.060500	0.003000	0.040600	0.040600	0.040600	0.004300
0.056800	0.048400	0.004500	0.043700	0.052700	0.052700	0.052700	-0.012100
0.036900	-0.007000	-0.019300	0.064200	0.064200	0.064200	0.064200	-0.011500
-0.015000	-0.027300	-0.031600	0.072200	0.072200	0.072200	0.072200	-0.008000
0.007300	0.003000	0.015100	0.037600	0.037600	0.037600	0.037600	0.034600
-0.001300	0.010800	0.022300	0.041900	0.041900	0.041900	0.041900	-0.004300
0.043700	0.055200	0.063200	0.009000	0.009000	0.009000	0.009000	0.032900
0.064200	0.072200	0.037600	-0.012000	-0.012000	-0.012000	-0.012000	0.009000
0.046800	0.012200	0.016500	0.013400	0.013400	0.013400	0.013400	-0.025400
0.025600	0.029900	-0.003000	-0.000700	-0.000700	-0.000700	-0.000700	0.013400
0.029200	-0.003700	-0.012700	-0.004200	-0.004200	-0.004200	-0.004200	-0.000700
-0.007900	-0.016900	0.008500	-0.011200	-0.009900	-0.009900	0.003500	-0.004200
-0.028100	-0.002700	-0.016100	-0.003500	0.001300	0.001300	0.014700	-0.011200
-0.006200	-0.019600	-0.018900	-0.005000	0.004800	0.004800	0.018200	-0.003500
-0.024600	-0.023900	-0.019700	-0.002300	0.009800	0.009800	0.045600	-0.005000
-0.042400	-0.038200	-0.027000	0.020500	0.028300	0.028300	0.064100	-0.018500
-0.026600	-0.015400	-0.011900	0.016700	0.016700	0.030100	0.056700	0.011600
-0.032600	-0.029100	-0.024100	0.033900	0.033900	0.047300	0.073900	-0.017200
-0.019600	-0.014600	0.003900	0.024400	0.024400	0.037800	0.064400	0.009500
-0.002300	0.016200	0.004600	0.012100	0.012100	0.047900	0.069100	0.012300
0.020500	0.008900	0.026100	0.007800	0.007800	0.043600	0.064800	0.004300
0.016700	0.033900	0.024400	-0.002800	0.013400	0.040000	0.057000	0.007800
0.027600	0.018100	0.005800	0.003500	0.019700	0.046300	0.081500	-0.006300
0.021600	0.009300	0.005000	-0.011300	0.016200	0.042800	0.078000	0.003500
-0.002700	-0.007000	-0.014800	0.000700	0.050600	0.071800	0.090000	-0.012000
-0.006300	-0.014100	-0.007800	0.006200	0.049900	0.071100	0.101100	0.000700
-0.022700	-0.016400	-0.019900	0.036100	0.062700	0.079700	0.139700	-0.008600
-0.022200	-0.025700	-0.013700	0.041900	0.068500	0.103700	0.145500	-0.005800
-0.042400	-0.030400	-0.031100	0.058600	0.085200	0.120400	0.162200	-0.016700
-0.020100	-0.020800	-0.012200	0.070700	0.091900	0.110100	0.151900	0.010300
0.006200	0.014800	0.020600	0.043700	0.064900	0.094900	0.124900	0.027000
0.036100	0.041900	0.058600	0.026600	0.043600	0.103600	0.103600	0.021300
0.040500	0.057200	0.046900	0.028000	0.063200	0.105000	0.119700	-0.001400
0.051600	0.041300	0.014300	0.033600	0.068800	0.110600	0.125300	-0.005600
0.070700	0.043700	0.022400	0.021200	0.039400	0.081200	0.095900	0.029400
0.036200	0.014900	0.016300	0.028700	0.058700	0.088700	0.103400	-0.007500
0.026600	0.028000	0.033600	0.017000	0.077000	0.077000	0.091700	0.011700
0.020500	0.026100	-0.003300	0.042700	0.084500	0.099200	0.105200	-0.007500
0.029500	0.000100	0.007600	0.039300	0.081100	0.095800	0.130300	0.003400
0.021200	0.028700	0.017000	0.018200	0.060000	0.074700	0.109200	0.021100
0.024800	0.013100	0.020600	0.033900	0.063900	0.078600	0.113100	-0.003900
0.009100	0.016600	0.013200	0.067900	0.067900	0.082600	0.117100	-0.004000
0.042700	0.039300	0.018200	0.041800	0.056500	0.062500	0.095600	0.026100
0.029500	0.008400	0.012300	0.051600	0.066300	0.100800	0.110700	-0.009800
0.014300	0.018200	0.022200	0.045700	0.060400	0.094900	0.136700	0.005900
0.033900	0.037900	0.011800	0.030000	0.044700	0.079200	0.121000	0.015700
0.067900	0.041800	0.051600	-0.006600	0.014700	0.049200	0.091000	0.030000
0.034300	0.044100	0.038200	0.022200	0.028200	0.061300	0.098500	-0.007500
0.045000	0.039100	0.023400	0.021300	0.055800	0.065700	0.113300	0.000900
0.019300	0.003600	-0.026400	0.041100	0.075600	0.117400	0.133100	-0.019800
0.003600	-0.026400	-0.018900	0.041100	0.075600	0.117400	0.133100	0.000000
-0.009000	-0.001500	-0.002400	0.023700	0.058200	0.100000	0.115700	0.017400
0.022200	0.021300	0.041100	0.006000	0.039100	0.076300	0.102200	0.023700
0.005600	0.025400	0.025400	0.050200	0.060100	0.107700	0.117900	-0.015700
0.032900	0.032900	0.015500	0.042700	0.084500	0.100200	0.110400	0.007500
0.036600	0.019200	-0.004500	0.039000	0.080800	0.096500	0.106700	0.003700
0.009000	-0.014700	0.001000	0.049200	0.091000	0.106700	0.116900	-0.010200
0.006000	0.021700	0.014200	0.033100	0.070300	0.096200	0.096200	0.020700
0.050200	0.042700	0.039000	0.009900	0.057500	0.067700	0.067700	0.028500
0.032900	0.029200	0.039400	0.051600	0.067300	0.077500	0.077500	-0.009800
0.027400	0.037600	0.016900	0.053400	0.069100	0.079300	0.079300	-0.001800
0.044800	0.024100	-0.004400	0.046200	0.061900	0.072100	0.072100	0.007200
0.033100	0.004600	0.014400	0.037200	0.063100	0.063100	0.063100	0.009000
0.009900	0.019700	0.021500	0.047600	0.057800	0.057800	0.057800	0.005300
0.051600	0.053400	0.046200	0.015700	0.025900	0.025900	0.025900	0.031900
0.047400	0.040200	0.031200	0.021700	0.031900	0.031900	0.031900	-0.006000
0.034100	0.025100	0.019800	0.027800	0.038000	0.038000	0.038000	-0.006100
0.028600	0.023300	-0.008600	0.034500	0.034500	0.034500	0.034500	0.003500
0.047600	0.015700	0.021700	0.010200	0.010200	0.010200	0.010200	0.024300
0.008100	0.014100	0.020200	0.017800	0.017800	0.017800	0.017800	-0.007600
