up_down_10	up_down_5	up_down_4	up_down_3	highest_1_week	highest_2_week	highest_3_week	highest_4_week	lowest_1_week	chg
0.046500	0.036500	0.015800	0.013200	0.051200	0.070200	0.114200	0.116600	-0.010500	0.001700
0.056500	0.034000	0.031400	0.030500	0.052000	0.052000	0.097600	0.131200	0.007700	0.018200
0.047900	0.023700	0.022800	0.012200	0.059700	0.064200	0.105300	0.140400	-0.015500	-0.007700
0.055300	0.038300	0.027700	0.026000	0.044200	0.085000	0.090600	0.129400	-0.011000	0.015500
0.073500	0.038700	0.037000	0.018800	0.033200	0.074000	0.079600	0.118400	-0.014200	0.011000
0.087700	0.051200	0.033000	0.040700	0.019000	0.063000	0.065400	0.104200	-0.006800	0.014200
0.086000	0.052000	0.059700	0.044200	-0.003200	0.045600	0.079200	0.103800	0.020300	0.019000
0.071200	0.047500	0.032000	0.021000	0.016700	0.057800	0.092900	0.123300	0.008100	-0.012200
0.071900	0.033600	0.022600	0.008400	0.051400	0.057000	0.095800	0.125300	0.009700	0.001600
0.068700	0.030000	0.015800	-0.003200	0.044000	0.049600	0.088400	0.117900	0.017100	0.007400
0.065400	0.014200	-0.004800	0.007400	0.048800	0.051200	0.090000	0.119500	0.015500	-0.001600
0.031700	-0.020300	-0.008100	-0.009700	0.065900	0.099500	0.124100	0.135000	-0.024800	-0.015500
0.064200	0.016700	0.015100	0.007700	0.041100	0.076200	0.106600	0.110200	-0.030100	0.024800
0.085000	0.051400	0.044000	0.045600	0.005600	0.044400	0.073900	0.073900	0.006200	0.036300
0.067800	0.037800	0.039400	0.054900	0.011800	0.050600	0.080100	0.080100	0.002900	-0.006200
0.063000	0.048800	0.064300	0.039500	0.002400	0.041200	0.070700	0.070700	0.012300	0.009400
0.045600	0.065900	0.041100	0.004800	0.033600	0.058200	0.069100	0.069100	0.013900	0.001600
0.052400	0.035700	-0.000600	0.005600	0.040500	0.070900	0.074500	0.074500	0.008500	-0.005400
0.057000	0.005600	0.011800	0.002400	0.038800	0.068300	0.068300	0.068300	0.014700	0.006200
0.034900	-0.002900	-0.012300	-0.013900	0.053500	0.083000	0.083000	0.083000	-0.013400	-0.014700
0.049900	0.001100	-0.000500	0.004900	0.040100	0.069600	0.069600	0.070500	-0.034100	0.013400
0.099500	0.033600	0.039000	0.032800	0.024600	0.035500	0.035500	0.057400	-0.001500	0.034100
0.076200	0.040500	0.034300	0.049000	0.030400	0.034000	0.034000	0.055900	-0.002300	0.001500
0.044400	0.038800	0.053500	0.040100	0.029500	0.029500	0.029500	0.072700	0.002200	0.004500
0.048400	0.051300	0.037900	0.003800	0.031700	0.031700	0.031700	0.080500	-0.002200	-0.002200
0.041200	0.040100	0.006000	0.004500	0.029500	0.029500	0.030400	0.092800	-0.017200	0.002200
0.058200	0.024600	0.023100	0.018600	0.010900	0.010900	0.032800	0.081700	0.001400	0.018600
0.070900	0.030400	0.025900	0.028100	0.003600	0.003600	0.025500	0.074400	0.008700	0.007300
0.068300	0.029500	0.031700	0.029500	-0.002900	-0.000700	0.043200	0.070800	0.012300	0.003600
0.080100	0.028800	0.026600	0.008000	-0.000700	0.002200	0.051700	0.073700	0.009400	-0.002900
0.057300	0.017200	-0.001400	-0.008700	0.008700	0.013200	0.075600	0.083100	-0.002900	-0.009400
0.026100	0.001500	-0.005800	-0.009400	0.006500	0.031300	0.080200	0.080200	-0.001400	0.002900
0.030400	-0.000000	-0.003600	-0.000700	0.002900	0.025500	0.074400	0.074400	0.004400	0.005800
0.021500	-0.008000	-0.005100	0.004300	0.007300	0.051200	0.078800	0.079000	0.000700	-0.004400
0.023700	-0.005100	0.004300	0.001400	0.007300	0.056800	0.078800	0.079000	0.007300	0.000000
0.025900	0.008700	0.005800	0.000000	0.004500	0.066900	0.074400	0.074600	0.011700	0.004400
0.008000	0.006500	0.000700	0.005100	0.024800	0.073700	0.073700	0.079300	0.012400	0.000700
0.002900	0.002900	0.007300	0.007300	0.022600	0.071500	0.071500	0.077100	0.014600	0.002200
-0.008700	-0.000700	-0.000700	-0.005100	0.051900	0.079500	0.079700	0.085100	0.006600	-0.008000
-0.012400	-0.007300	-0.011700	-0.012400	0.064100	0.086100	0.086300	0.091700	-0.016200	-0.006600
0.013200	0.004500	0.003800	0.001600	0.062400	0.069900	0.070100	0.075500	-0.016700	0.016200
0.031300	0.024800	0.022600	0.030600	0.048900	0.048900	0.054500	0.054500	0.004300	0.021000
0.021200	0.018300	0.026300	0.032900	0.053200	0.053200	0.058800	0.058800	-0.025600	-0.004300
0.051200	0.051900	0.058500	0.042300	0.027600	0.027800	0.033200	0.033200	-0.005600	0.025600
0.056800	0.064100	0.047900	0.026900	0.022000	0.022200	0.027600	0.027600	-0.003700	0.005600
0.066900	0.062400	0.041400	0.045700	0.007500	0.007700	0.013100	0.013100	0.010800	0.014500
0.073700	0.048900	0.053200	0.027600	-0.002700	0.005600	0.005600	0.005600	0.018300	0.007500
0.068800	0.050500	0.024900	0.019300	0.001500	0.008300	0.008300	0.008300	0.015600	-0.002700
0.073400	0.021500	0.015900	0.001400	0.006300	0.011700	0.011700	0.011700	0.012200	-0.003400
0.067800	0.003700	-0.010800	-0.018300	0.018500	0.023900	0.023900	0.023900	-0.004800	-0.012200
