always	highest	bid	sell
0.065682	0.101411	-0.015000	0.051400
0.068133	0.103944	-0.015000	0.051400
0.064973	0.102008	-0.006600	0.037600
0.051554	0.081058	-0.006600	0.037600
0.063331	0.093166	-0.006600	0.037600
0.041460	0.070681	-0.001400	0.037600
0.003788	0.025998	0.031100	0.051400
-0.029050	0.029532	-0.006600	0.021700
-0.019729	0.039416	-0.006600	0.021700
-0.032864	0.025488	-0.006600	0.021700
-0.025982	0.030410	-0.006600	0.021700
-0.008214	0.041023	-0.006600	0.021700
-0.017725	0.017095	0.021700	0.012400
-0.010554	0.019768	-0.026700	0.021700
0.005277	0.036085	-0.026700	0.021700
0.026859	0.056356	0.021700	0.013300
0.021527	0.049464	0.001900	0.026700
0.012432	0.060276	-0.045000	0.031900
0.007876	0.060276	-0.045000	0.031900
-0.004320	0.060276	-0.045000	0.031900
0.004848	0.060276	-0.045000	0.031900
0.067753	0.078668	0.034700	0.031900
0.097153	0.108369	0.034700	0.053400
0.101871	0.113135	0.034700	0.053400
0.088539	0.113135	0.034700	0.053400
0.089751	0.127339	0.034700	0.053400
0.069060	0.114853	0.034700	0.053400
0.112352	0.152468	0.034700	0.053400
0.107569	0.147513	0.034700	0.053400
0.144008	0.185266	0.034700	0.053400
0.143328	0.184561	0.034700	0.053400
0.129422	0.200650	0.034700	0.053400
0.156622	0.213308	0.034700	0.053400
0.155813	0.210962	0.046800	0.053400
0.150958	0.205876	0.046800	0.053400
0.129820	0.183729	0.046800	0.053400
0.108135	0.161010	0.046800	0.053400
0.047914	0.105090	0.046800	0.053400
0.028528	0.084646	0.046800	0.053400
0.040459	0.097228	0.046800	0.053400
0.027185	0.078356	0.046800	0.053400
0.049644	0.088600	0.046800	0.053400
-0.002873	0.047787	-0.015000	0.043800
0.001414	0.052292	-0.015000	0.043800
0.009225	0.060500	-0.015000	0.043800
-0.001427	0.053819	-0.015000	0.043800
0.014342	0.057507	-0.015000	0.043800
-0.012174	0.015205	-0.042400	0.020500
-0.011482	0.015205	-0.042400	0.020500
-0.019984	0.015205	-0.042400	0.020500
-0.021460	0.015205	-0.042400	0.020500
-0.068450	0.015205	-0.042400	0.020500
-0.055595	0.019003	-0.042400	0.020500
-0.030096	0.046516	-0.042400	0.020500
-0.009437	0.068806	-0.042400	0.020500
-0.010131	0.068806	-0.042400	0.020500
-0.011523	0.068806	-0.042400	0.020500
0.037868	0.068806	-0.042400	0.020500
0.030084	0.068806	-0.042400	0.020500
0.042136	0.068806	-0.042400	0.020500
0.053815	0.068806	-0.042400	0.020500
0.045273	0.076173	-0.042400	0.051700
0.062716	0.076173	-0.042400	0.051700
0.058572	0.076173	-0.042400	0.051700
0.054337	0.076173	-0.042400	0.051700
0.077224	0.078317	0.036200	0.051700
0.058411	0.076173	-0.042400	0.051700
0.102850	0.106663	0.051700	0.036200
0.120165	0.124038	0.051700	0.036200
0.153770	0.157759	0.051700	0.036200
0.115012	0.127321	0.051700	0.036200
0.092740	0.097631	0.051700	0.034000
0.047839	0.081778	0.036200	0.034000
0.047839	0.074755	0.036200	0.034000
0.066071	0.093455	0.036200	0.034000
0.099584	0.119370	0.036200	0.034000
0.069804	0.099788	0.020500	0.042800
0.059928	0.090057	0.009100	0.042800
0.063850	0.094091	0.009100	0.042800
0.052999	0.091306	0.014300	0.034000
