up_down_5	best_state	chg
0.049200	0.020000	0.023100
0.017500	-0.030000	-0.003900
0.003600	-0.020000	-0.014800
0.016800	0.030000	0.005700
0.027200	0.030000	0.017100
0.001500	0.030000	-0.002600
0.002400	0.030000	-0.003000
0.037200	0.020000	0.020000
0.015700	-0.030000	-0.015800
-0.041200	-0.030000	-0.039800
-0.037700	-0.030000	0.000900
-0.064400	-0.020000	-0.029700
-0.063900	0.030000	0.020500
-0.050100	0.030000	-0.002000
-0.027300	0.030000	-0.017000
-0.011600	0.030000	0.016600
0.038200	0.030000	0.020100
0.024100	0.020000	0.006400
0.016100	-0.030000	-0.010000
0.013800	-0.020000	-0.019300
0.015000	0.030000	0.017800
0.031800	0.030000	0.036900
0.018300	0.030000	-0.007100
0.052000	0.020000	0.023700
0.069500	-0.030000	-0.001800
0.042100	-0.020000	-0.009600
0.020700	0.030000	0.015500
0.036500	0.030000	0.008700
0.025800	0.030000	0.013000
0.032700	0.020000	0.005100
0.035900	-0.030000	-0.006400
0.023800	-0.030000	0.003400
0.005300	-0.030000	-0.009800
-0.027500	-0.020000	-0.019800
-0.008900	0.030000	0.023700
-0.003800	0.030000	-0.001300
-0.002500	0.030000	0.004700
0.009400	0.030000	0.002100
0.045400	0.030000	0.016200
0.023800	0.030000	0.002100
0.033900	0.030000	0.008800
0.053700	0.030000	0.024500
0.065800	0.030000	0.014200
0.041600	0.030000	-0.008000
0.056400	0.030000	0.016900
0.051200	0.030000	0.003600
0.028300	0.020000	0.001600
-0.007900	-0.030000	-0.022000
0.001300	-0.030000	0.001200
-0.027700	-0.020000	-0.012100
0.008200	-0.030000	0.039500
0.010100	-0.030000	0.003500
0.019600	-0.030000	-0.012500
0.016400	-0.030000	-0.002000
0.036000	-0.030000	0.007500
-0.036500	-0.030000	-0.033000
-0.046500	-0.030000	-0.006500
-0.017600	-0.030000	0.016400
-0.025300	-0.030000	-0.009700
