up_down_5	best_state	chg	highest_1_week
-0.012000	0.030000	0.010700	0.055600
-0.023400	0.030000	-0.003500	0.059100
-0.011900	0.030000	0.008000	0.051100
-0.002300	0.030000	0.003500	0.047600
0.036200	0.030000	0.017500	0.030100
0.055600	0.020000	0.030100	0.010400
0.043200	-0.030000	-0.015900	0.026300
0.033500	-0.020000	-0.001700	0.028000
0.038500	0.030000	0.008500	0.019500
0.017600	0.030000	-0.003400	0.022900
0.010400	0.020000	0.022900	-0.005800
0.018000	-0.030000	-0.008300	0.002500
0.019700	-0.030000	0.000000	0.002500
0.013700	-0.030000	0.002500	-0.001500
0.012900	-0.030000	-0.004200	0.031100
-0.007500	-0.030000	0.002500	0.037500
-0.005000	-0.030000	-0.005800	0.051300
-0.015100	-0.020000	-0.010100	0.086100
-0.001500	0.030000	0.016100	0.070000
0.031100	0.030000	0.028400	0.041600
0.037500	0.030000	0.008900	0.032700
0.051300	0.030000	0.008000	0.024700
0.086100	0.020000	0.024700	-0.002300
0.067700	-0.030000	-0.002300	-0.007800
0.031500	-0.030000	-0.007800	0.001900
0.004500	-0.030000	-0.018100	0.020000
-0.006700	-0.020000	-0.003200	0.023200
-0.025800	0.030000	0.005600	0.044400
-0.026700	0.030000	-0.003200	0.047600
0.001900	0.030000	0.020800	0.026800
0.015300	0.030000	-0.004700	0.031500
0.021700	0.030000	0.003200	0.028300
0.044400	0.020000	0.028300	-0.000800
0.046800	-0.030000	-0.000800	-0.016100
0.008400	-0.030000	-0.017600	0.001500
0.012300	-0.030000	-0.000800	0.002300
0.011400	-0.030000	0.002300	-0.016300
-0.033200	-0.030000	-0.016300	-0.001400
-0.045000	-0.020000	-0.012600	0.015200
-0.016200	0.030000	0.011200	0.004000
-0.020200	0.030000	-0.004800	0.008800
-0.031300	0.030000	-0.008800	0.019300
-0.007000	0.030000	0.008000	0.011300
0.015200	0.020000	0.009600	0.001700
-0.009400	-0.030000	-0.013400	0.015100
0.000200	-0.030000	0.004800	0.026600
0.019300	-0.030000	0.010300	0.031800
-0.013900	-0.020000	-0.025200	0.074600
